user_id,age,gender,occupation,zipcode,name,email,join_date
1,24,M,technician,85711,User1,user1@example.com,2025-09-11
2,53,F,other,94043,User2,user2@example.com,2025-09-11
3,23,M,writer,32067,User3,user3@example.com,2025-09-11
4,24,M,technician,43537,User4,user4@example.com,2025-09-11
5,33,F,other,15213,User5,user5@example.com,2025-09-11
6,42,M,executive,98101,User6,user6@example.com,2025-09-11
7,57,M,administrator,91344,User7,user7@example.com,2025-09-11
8,36,M,administrator,05201,User8,user8@example.com,2025-09-11
9,29,M,student,01002,User9,user9@example.com,2025-09-11
10,53,M,lawyer,90703,User10,user10@example.com,2025-09-11
11,39,F,other,30329,User11,user11@example.com,2025-09-11
12,28,F,other,06405,User12,user12@example.com,2025-09-11
13,47,M,educator,29206,User13,user13@example.com,2025-09-11
14,45,M,scientist,55106,User14,user14@example.com,2025-09-11
15,49,F,educator,97301,User15,user15@example.com,2025-09-11
16,21,M,entertainment,10309,User16,user16@example.com,2025-09-11
17,30,M,programmer,06355,User17,user17@example.com,2025-09-11
18,35,F,other,37212,User18,user18@example.com,2025-09-11
19,40,M,librarian,02138,User19,user19@example.com,2025-09-11
20,42,F,homemaker,95660,User20,user20@example.com,2025-09-11
21,26,M,writer,30068,User21,user21@example.com,2025-09-11
22,25,M,writer,40206,User22,user22@example.com,2025-09-11
23,30,F,artist,48197,User23,user23@example.com,2025-09-11
24,21,F,artist,94533,User24,user24@example.com,2025-09-11
25,39,M,engineer,55107,User25,user25@example.com,2025-09-11
26,49,M,engineer,21044,User26,user26@example.com,2025-09-11
27,40,F,librarian,30030,User27,user27@example.com,2025-09-11
28,32,M,writer,55369,User28,user28@example.com,2025-09-11
29,41,M,programmer,94043,User29,user29@example.com,2025-09-11
30,7,M,student,55436,User30,user30@example.com,2025-09-11
31,24,M,artist,10003,User31,user31@example.com,2025-09-11
32,28,F,student,78741,User32,user32@example.com,2025-09-11
33,23,M,student,27510,User33,user33@example.com,2025-09-11
34,38,F,administrator,42141,User34,user34@example.com,2025-09-11
35,20,F,homemaker,42459,User35,user35@example.com,2025-09-11
36,19,F,student,93117,User36,user36@example.com,2025-09-11
37,23,M,student,55105,User37,user37@example.com,2025-09-11
38,28,F,other,54467,User38,user38@example.com,2025-09-11
39,41,M,entertainment,01040,User39,user39@example.com,2025-09-11
40,38,M,scientist,27514,User40,user40@example.com,2025-09-11
41,33,M,engineer,80525,User41,user41@example.com,2025-09-11
42,30,M,administrator,17870,User42,user42@example.com,2025-09-11
43,29,F,librarian,20854,User43,user43@example.com,2025-09-11
44,26,M,technician,46260,User44,user44@example.com,2025-09-11
45,29,M,programmer,50233,User45,user45@example.com,2025-09-11
46,27,F,marketing,46538,User46,user46@example.com,2025-09-11
47,53,M,marketing,07102,User47,user47@example.com,2025-09-11
48,45,M,administrator,12550,User48,user48@example.com,2025-09-11
49,23,F,student,76111,User49,user49@example.com,2025-09-11
50,21,M,writer,52245,User50,user50@example.com,2025-09-11
51,28,M,educator,16509,User51,user51@example.com,2025-09-11
52,18,F,student,55105,User52,user52@example.com,2025-09-11
53,26,M,programmer,55414,User53,user53@example.com,2025-09-11
54,22,M,executive,66315,User54,user54@example.com,2025-09-11
55,37,M,programmer,01331,User55,user55@example.com,2025-09-11
56,25,M,librarian,46260,User56,user56@example.com,2025-09-11
57,16,M,none,84010,User57,user57@example.com,2025-09-11
58,27,M,programmer,52246,User58,user58@example.com,2025-09-11
59,49,M,educator,08403,User59,user59@example.com,2025-09-11
60,50,M,healthcare,06472,User60,user60@example.com,2025-09-11
61,36,M,engineer,30040,User61,user61@example.com,2025-09-11
62,27,F,administrator,97214,User62,user62@example.com,2025-09-11
63,31,M,marketing,75240,User63,user63@example.com,2025-09-11
64,32,M,educator,43202,User64,user64@example.com,2025-09-11
65,51,F,educator,48118,User65,user65@example.com,2025-09-11
66,23,M,student,80521,User66,user66@example.com,2025-09-11
67,17,M,student,60402,User67,user67@example.com,2025-09-11
68,19,M,student,22904,User68,user68@example.com,2025-09-11
69,24,M,engineer,55337,User69,user69@example.com,2025-09-11
70,27,M,engineer,60067,User70,user70@example.com,2025-09-11
71,39,M,scientist,98034,User71,user71@example.com,2025-09-11
72,48,F,administrator,73034,User72,user72@example.com,2025-09-11
73,24,M,student,41850,User73,user73@example.com,2025-09-11
74,39,M,scientist,T8H1N,User74,user74@example.com,2025-09-11
75,24,M,entertainment,08816,User75,user75@example.com,2025-09-11
76,20,M,student,02215,User76,user76@example.com,2025-09-11
77,30,M,technician,29379,User77,user77@example.com,2025-09-11
78,26,M,administrator,61801,User78,user78@example.com,2025-09-11
79,39,F,administrator,03755,User79,user79@example.com,2025-09-11
80,34,F,administrator,52241,User80,user80@example.com,2025-09-11
81,21,M,student,21218,User81,user81@example.com,2025-09-11
82,50,M,programmer,22902,User82,user82@example.com,2025-09-11
83,40,M,other,44133,User83,user83@example.com,2025-09-11
84,32,M,executive,55369,User84,user84@example.com,2025-09-11
85,51,M,educator,20003,User85,user85@example.com,2025-09-11
86,26,M,administrator,46005,User86,user86@example.com,2025-09-11
87,47,M,administrator,89503,User87,user87@example.com,2025-09-11
88,49,F,librarian,11701,User88,user88@example.com,2025-09-11
89,43,F,administrator,68106,User89,user89@example.com,2025-09-11
90,60,M,educator,78155,User90,user90@example.com,2025-09-11
91,55,M,marketing,01913,User91,user91@example.com,2025-09-11
92,32,M,entertainment,80525,User92,user92@example.com,2025-09-11
93,48,M,executive,23112,User93,user93@example.com,2025-09-11
94,26,M,student,71457,User94,user94@example.com,2025-09-11
95,31,M,administrator,10707,User95,user95@example.com,2025-09-11
96,25,F,artist,75206,User96,user96@example.com,2025-09-11
97,43,M,artist,98006,User97,user97@example.com,2025-09-11
98,49,F,executive,90291,User98,user98@example.com,2025-09-11
99,20,M,student,63129,User99,user99@example.com,2025-09-11
100,36,M,executive,90254,User100,user100@example.com,2025-09-11
101,15,M,student,05146,User101,user101@example.com,2025-09-11
102,38,M,programmer,30220,User102,user102@example.com,2025-09-11
103,26,M,student,55108,User103,user103@example.com,2025-09-11
104,27,M,student,55108,User104,user104@example.com,2025-09-11
105,24,M,engineer,94043,User105,user105@example.com,2025-09-11
106,61,M,retired,55125,User106,user106@example.com,2025-09-11
107,39,M,scientist,60466,User107,user107@example.com,2025-09-11
108,44,M,educator,63130,User108,user108@example.com,2025-09-11
109,29,M,other,55423,User109,user109@example.com,2025-09-11
110,19,M,student,77840,User110,user110@example.com,2025-09-11
111,57,M,engineer,90630,User111,user111@example.com,2025-09-11
112,30,M,salesman,60613,User112,user112@example.com,2025-09-11
113,47,M,executive,95032,User113,user113@example.com,2025-09-11
114,27,M,programmer,75013,User114,user114@example.com,2025-09-11
115,31,M,engineer,17110,User115,user115@example.com,2025-09-11
116,40,M,healthcare,97232,User116,user116@example.com,2025-09-11
117,20,M,student,16125,User117,user117@example.com,2025-09-11
118,21,M,administrator,90210,User118,user118@example.com,2025-09-11
119,32,M,programmer,67401,User119,user119@example.com,2025-09-11
